OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
126	TARA_N000000805	TARA_066	SRF	[0.8-5µm]	-34.9449	17.9189	TARA_066_SRF_0.8-5	TARA_066	ERS490134	ERR599261|ERR1712216|ERR562457|ERR1712205	SAMEA2620939	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000805	2010-07-15T12:22	-2031	15.013362	35.3233	26.2141	1.8748	0.1611	5	9.435831	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	108.123809814453	0.000263461828581057	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	91	31	100	14	451	106	0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.9449	17.9189	0	winter	early	0.143048	0.098545	0
127	TARA_N000000807	TARA_066	DCM	[0.8-5µm]	-34.8901	18.0459	TARA_066_DCM_0.8-5	TARA_066	ERS490172	ERR599300|ERR599242|ERR562660|ERR599235|ERR599308|ERR599327|ERR599273|ERR599274|ERR1726829|ERR599285|ERR1719504|ERR599233|ERR1726875|ERR599251|ERR1726898|ERR599318|ERR1726793|ERR1719352|ERR599315|ERR1726833|ERR599252|ERR599289|ERR562369|ERR599271|ERR1726701|ERR1726704|ERR599272|ERR599334|ERR599316|ERR1726866	SAMEA2620959	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000807	2010-07-15T15:36	-1880	15.014	35.32305	26.21755	0.003038	0.1725	30	0.350859	239.791063	2.739389	0.000311999	0.019386057	0.1846933	1.545722415		724.197	99.6284065246582	0.000233922561164945	0.00545	0.0296		0.0276	0.0245		0.284	0.34975	3.309875	2.5895	67	23		15	65		0.897426	0.890853					0.03835	0.0149	0.0296	0.01535	0.0761	0.01095	0.0143	0.0018	-34.8901	18.0459	0	winter	early	0.143048	0.098545	0
128	TARA_N000000809	TARA_066	SRF	[5-20µm]	-34.9449	17.9189	TARA_066_SRF_5-20	TARA_066	ERS490136	ERR1712172|ERR1711971|ERR599208|ERR562534	SAMEA2620941	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000809	2010-07-15T12:22	-2031	15.013362	35.3233	26.2141	1.8748	0.1611	5	9.435831	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	108.123809814453	0.000263461828581057	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	91	31	100	14	451	106	0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.9449	17.9189	0	winter	early	0.143048	0.098545	0
129	TARA_N000000833	TARA_072	DCM	[0.8-5µm]	-8.7296	-17.9604	TARA_072_DCM_0.8-5	TARA_072	ERS490490	ERR562401|ERR1712057|ERR1711959|ERR599307	SAMEA2621169	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000833	2010-10-05T15:35	-4008	23.630095	36.588225	24.96531	3.7626	0.16449	100	0.032923	190.5966	1.049606	0.001262169	0.011292624	0.018234891	0.036490005		334.144	29.3533506393433		0.0083	0.0086		0.0616	0		0.011	0.143	0.044	1.284	88	99	98	16	290	143	0.321126	0.715698					0.0325	0.0073	0.0086	0.0023	0.084	0	0.0827	0	-8.7296	-17.9604	0	spring	early	0.006396	0.087015	0
130	TARA_N000000836	TARA_072	SRF	[5-20µm]	-8.7277	-17.9235	TARA_072_SRF_5-20	TARA_072	ERS490468	ERR1712039|ERR1711948	SAMEA2731714	SEQ-(500mL-or-15min)_N5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000836	2010-10-05T11:00	-4008	25.064425	36.41678	24.393095	3.3129	0.00864	5	33.586523	199.135	0.416799	0.001262169	0.011292624	0.018234891	0.036490005		322.113	29.7498254776001		0	0.0018	11.00154	0.0038	0	8.06029	0.003	0.104	0.018	0.868	88	99	98	16	290	143	0.321126	0.715698					0.0021	0.0009	0.0018	0	0.0088	0	0.0557	0	-8.7277	-17.9235	0	spring	early	0.006396	0.087015	0
131	TARA_N000000837	TARA_072	DCM	[5-20µm]	-8.6831	-18.0095	TARA_072_DCM_5-20	TARA_072	ERS490503	ERR1712190|ERR1712056|ERR562560|ERR599317	SAMEA2657100	SEQ-(500mL-or-15min)_N5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000837	2010-10-05T18:28	-4008	23.630095	36.588225	24.96531	7.9616	0.16449	100	0.032923	190.5966	1.049606	0.001262169	0.011292624	0.018234891	0.036490005		334.144	28.8000011444092		0.0083	0.0086		0.0616	0		0.011	0.143	0.044	1.284	88	99	98	16	290	143	0.321126	0.715698					0.0325	0.0073	0.0086	0.0023	0.084	0	0.0827	0	-8.6831	-18.0095	0	spring	early	0.006396	0.087015	0
132	TARA_N000000839	TARA_072	SRF	[20-180µm]	-8.7484	-17.9179	TARA_072_SRF_20-180	TARA_072	ERS490463	ERR1712156|ERR1712109|ERR562527|ERR599256	SAMEA2656961	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000839	2010-10-05T09:48	-4046	25.064425	36.41678	24.393095	2.2659	0.00864	5	33.586523	199.135	0.416799	0.001262169	0.011292624	0.018234891	0.036490005		322.113	31.2452344894409		0	0.0018	11.00154	0.0038	0	8.06029	0.003	0.104	0.018	0.868	91	98	108	28	300	144	0.321126	0.715698					0.0021	0.0009	0.0018	0	0.0088	0	0.0557	0	-8.7484	-17.9179	0	spring	early	0.006396	0.087015	0
134	TARA_N000000843	TARA_072	SRF	[180-2000µm]	-8.7726	-17.915	TARA_072_SRF_180-2000	TARA_072	ERS490457	ERR1711899|ERR562563|ERR599286|ERR1712223	SAMEA2657090	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000843	2010-10-05T08:20	-4046	25.064425	36.41678	24.393095	0.48698	0.00864	5	28.638751	199.135	0.416799	0.001262169	0.011292624	0.018234891	0.036490005		322.113	32.026927947998		0	0.0018	11.00154	0.0038	0	8.06029	0.003	0.104	0.018	0.868	91	98	108	28	300	144	0.321126	0.715698					0.0021	0.0009	0.0018	0	0.0088	0	0.0557	0	-8.7726	-17.915	0	spring	early	0.006396	0.087015	0
135	TARA_N000000852	TARA_076	SRF	[>0.8µm]	-20.9354	-35.1803	TARA_076_SRF_0.8->	TARA_076	ERS490552	ERR1712046|ERR1740326|ERR1712031|ERR562512|ERR599253|ERR1007416	SAMEA2621208	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000852	2010-10-16T09:55	-3847	23.374825	37.076575	25.40018	1.7268	-0.00072	5	31.396196	206.23185	0.185971	0.000776878	0.011959192	0.013930039	0.013453111		191.757	24.611780166626	0.000093079768703319	0	0.0019	10.872174	0.0016	0	8.084707	0.001404	0.055883	0	0.814172	50	136	152	77	582	849	0.337256	0.578854					0.0011	0.0006	0.0019	0	0.0042	0	0.0223	0	-20.9354	-35.1803	0	spring	early	0.084131	0.027592	0
136	TARA_N000000864	TARA_076	SRF	[5-20µm]	-20.9724	-35.2724	TARA_076_SRF_5-20	TARA_076	ERS490583	ERR1711870|ERR1712217	SAMEA2732954	SEQ-(500mL-or-15min)_N5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000864	2010-10-16T12:45	-3932	23.374825	37.076575	25.40018	5.8959	-0.00072	5	30.710426	206.23185	0.185971	0.000776878	0.011959192	0.013930039	0.013453111		191.757	25.3149070739746	0.000063824187236605	0	0.0019	10.872174	0.0016	0	8.084707	0.001404	0.055883	0	0.814172	31	136	165	80	175	329	0.337256	0.578854					0.0011	0.0006	0.0019	0	0.0042	0	0.0223	0	-20.9724	-35.2724	0	spring	early	0.084131	0.027592	0
137	TARA_N000000868	TARA_076	DCM	[5-20µm]	-21.092	-35.417	TARA_076_DCM_5-20	TARA_076	ERS490626	ERR562580|ERR1726780|ERR599329|ERR1712186|ERR1712061	SAMEA2657101	SEQ-(500mL-or-15min)_N5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000868	2010-10-16T19:53	-4236	21.16596	36.61951	25.68731	4.5229	0.039	150	0.027104	200.32465	0.218613	0.000776878	0.011959192	0.013930039	0.013453111		201.5375	28.1761207580566	0.00012400776904542	0.0006	0.00245		0.01715	0		0.047654	0.051522	0	0.712116	27	137	156	50	178	187	0.337256	0.578854					0.0114	0.0008	0.00245	0.00085	0.0225	0	0.0108	0	-21.092	-35.417	0	spring	early	0.084131	0.027592	0
138	TARA_N000000871	TARA_076	SRF	[20-180µm]	-20.9514	-35.2273	TARA_076_SRF_20-180	TARA_076	ERS490572	ERR1712073|ERR599326|ERR1712079|ERR1726937|ERR1726731|ERR562408	SAMEA2657030	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000871	2010-10-16T11:18	-3847	23.374825	37.076575	25.40018	3.4648	-0.00072	5	35.229155	206.23185	0.185971	0.000776878	0.011959192	0.013930039	0.013453111		191.757	24.6730270385742	0.000092574930022238	0	0.0019	10.872174	0.0016	0	8.084707	0.001404	0.055883	0	0.814172	50	136	152	77	582	849	0.337256	0.578854					0.0011	0.0006	0.0019	0	0.0042	0	0.0223	0	-20.9514	-35.2273	0	spring	early	0.084131	0.027592	0
139	TARA_N000000876	TARA_076	DCM	[20-180µm]	-21.0716	-35.3964	TARA_076_DCM_20-180	TARA_076	ERS490618	ERR1719195|ERR1726607|ERR1726950|ERR562416|ERR599333|ERR1719325	SAMEA2656998	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000876	2010-10-16T18:54	-4236	21.16596	36.61951	25.68731	1.4088	0.039	150	0.027104	200.32465	0.218613	0.000776878	0.011959192	0.013930039	0.013453111		201.5375	27.5773725509644	0.000115415783511708	0.0006	0.00245		0.01715	0		0.047654	0.051522	0	0.712116	27	137	156	50	178	187	0.337256	0.578854					0.0114	0.0008	0.00245	0.00085	0.0225	0	0.0108	0	-21.0716	-35.3964	0	spring	early	0.084131	0.027592	0
143	TARA_N000000927	TARA_064	SRF	[5-20µm]	-29.4991	37.9938	TARA_064_SRF_5-20	TARA_064	ERS489954	ERR1712151|ERR1712084	SAMEA2731338	SEQ-(500mL-or-15min)_N5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000927	2010-07-07T07:14	-4940	22.2414	35.32467	24.39702	0.47756	0.0492	5	13.575859	210.2395	0	0.00080341	0.010198253	0.030657471	0.074760764	1.13587	550.3075	68.1662216186523	0.000153173044964205	0.0012	0.0103	10.334428	0.0089	0	8.103935	0.004	0.084	0	1.7665	136	68	159	280	179	183	0.31965	0.714446					0.0109	0.0017	0.0103	0.0034	0.0201	0.0013	0.0861	0	-29.4991	37.9938	0	winter	early	0.676958	0.119044	0
144	TARA_N000000933	TARA_065	SRF	[0.8-5µm]	-35.1728	26.2868	TARA_065_SRF_0.8-5	TARA_065	ERS490039	ERR1719390|ERR1719261	SAMEA2620865	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000933	2010-07-12T05:59	-4316	21.76357	35.449638	24.629613	1.797	0.10548	5	0.86456	207.5812		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.4895858764648	0.000166576202900615											78	20	88	679	1186		0.134533	0.817359													-35.1728	26.2868	0	winter	early	4.780821	0.143321	0
145	TARA_N000000939	TARA_065	DCM	[5-20µm]	-35.2421	26.3048	TARA_065_DCM_5-20	TARA_065	ERS490102	ERR1712233|ERR1712130	SAMEA2620907	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000939	2010-07-12T11:03	-4291	21.72823	35.451512	24.64465	0.002391	0.11241	30	0.043008	207.48285		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.3579406738281	0.000164710756507702											66	27		13	63		0.134533	0.817359													-35.2421	26.3048	0	winter	early	4.780821	0.143321	0
147	TARA_N000000968	TARA_065	SRF	[20-180µm]	-35.2351	26.3022	TARA_065_SRF_20-180	TARA_065	ERS490083	ERR562438|ERR1719384|ERR599320|ERR1719251|ERR1726800	SAMEA2656992	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000968	2010-07-12T10:30	-4291	21.76357	35.449638	24.629613	0.81418	0.10548	5	0.86456	207.5812		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.3579406738281	0.000164710756507702											66	27		13	63		0.134533	0.817359													-35.2351	26.3022	0	winter	early	4.780821	0.143321	0
149	TARA_N000001006	TARA_084	SRF	[>0.8µm]	-60.2287	-60.6476	TARA_084_SRF_0.8->	TARA_084	ERS491010	ERR1719157|ERR1740325|ERR562426|ERR599270|ERR1719162	SAMEA2621496	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001006	2011-01-03T11:05	-3983	1.9034	33.7198	26.9578	0.43015	0.0219	5	28.65183	338.526	24.903191	0.000008826	0.096893812	0.217055053	19.89227422		132.631	52.0462245941162	0.000287958915578201							0.266	1.723	25.3	16.55	254	63	69	60	553	75	0.000081	0.485616	2876.10206	6.156097984	12175	0.765784249									-60.2287	-60.6476	0	spring	late	-0.48219	0.082884	1.972222
152	TARA_N000001024	TARA_085	SRF	[>0.8µm]	-62.0385	-49.529	TARA_085_SRF_0.8->	TARA_085	ERS491055	ERR1740115|ERR599281|ERR562404|ERR1740117	SAMEA2621520	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001024	2011-01-06T10:38	-3319	0.73159	34.327465	27.52175	0.62954	0.12516	5	10.772055	344.81235	29.73383	0.000451463	0.007686064	0.042774215	26.6249059		110.88225	46.9334907531738	0.000149058832903393	0	0.02675		0.00375	0.0155		0.1055	2.1055	28.64	80.55	499	89	70	60	596	28	0	0.49805	2354.620891	5.806473488	10111.2	0.775860222	0.0105	0.0016	0.02675	0	0.0732	0.00235	0.00225	0	-62.0385	-49.529	0	summer	early	-0.012327	0.02576	19.777778
153	TARA_N000001026	TARA_085	DCM	[>0.8µm]	-62.2231	-49.2139	TARA_085_DCM_0.8->	TARA_085	ERS491101	ERR599239|ERR1719272|ERR562478|ERR1719345	SAMEA2621542	SEQ-(100L-or-15min)_W>0.8	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	>0.80	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001026	2011-01-06T19:34	-3335	-0.792395	34.36258	27.6286	0.005556	0.22416	90	0.022572	326.6803	32.911358	0.000451463	0.007686064	0.042774215	26.6249059	0.98763	110.189	49.7448806762695	0.000070475100073963							0.06	2.309	31	81.82	42	43	55	17	191	177	0	0.49805													-62.2231	-49.2139	0	summer	early	-0.012327	0.02576	19.777778
154	TARA_N000001029	TARA_085	SRF	[0.8-5µm]	-62.0385	-49.529	TARA_085_SRF_0.8-5	TARA_085	ERS491058	ERR1740130|ERR1740133	SAMEA2621523	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001029	2011-01-06T10:38	-3319	0.73159	34.327465	27.52175	0.62954	0.12516	5	10.772055	344.81235	29.73383	0.000451463	0.007686064	0.042774215	26.6249059		110.88225	46.9334907531738	0.000149058832903393	0	0.02675		0.00375	0.0155		0.1055	2.1055	28.64	80.55	499	89	70	60	596	28	0	0.49805	2354.620891	5.806473488	10111.2	0.775860222	0.0105	0.0016	0.02675	0	0.0732	0.00235	0.00225	0	-62.0385	-49.529	0	summer	early	-0.012327	0.02576	19.777778
155	TARA_N000001030	TARA_085	DCM	[0.8-5µm]	-62.2231	-49.2139	TARA_085_DCM_0.8-5	TARA_085	ERS491103	ERR599325|ERR562525|ERR1712166|ERR1712195	SAMEA2621544	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001030	2011-01-06T19:34	-3335	-0.792395	34.36258	27.6286	0.005556	0.22416	90	0.022572	326.6803	32.911358	0.000451463	0.007686064	0.042774215	26.6249059	0.98763	110.189	49.7448806762695	0.000070475100073963							0.06	2.309	31	81.82	42	43	55	17	191	177	0	0.49805													-62.2231	-49.2139	0	summer	early	-0.012327	0.02576	19.777778
156	TARA_N000001034	TARA_085	DCM	[5-20µm]	-62.21	-49.2245	TARA_085_DCM_5-20	TARA_085	ERS491086	ERR1740327|ERR1712160|ERR562494|ERR599206|ERR1711957	SAMEA2656966	SEQ-(500mL-or-15min)_N5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001034	2011-01-06T18:57	-3335	-0.80475	34.363065	27.62948	1.5506	0.22416	90	0.020877	326.0385	32.803077	0.000451463	0.007686064	0.042774215	26.6249059	0.98763	110.189	49.7448806762695	0.000070475100073963							0.06	2.309	31	81.82	42	43	55	17	191	177	0	0.49805													-62.21	-49.2245	0	summer	early	-0.012327	0.02576	19.777778
157	TARA_N000001040	TARA_085	SRF	[180-2000µm]	-62.0773	-49.4534	TARA_085_SRF_180-2000	TARA_085	ERS491070	ERR599214|ERR1740124|ERR562387|ERR1740136	SAMEA2656979	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001040	2011-01-06T12:45	-3319	0.73159	34.327465	27.52175	6.4622	0.12516	5	9.995608	344.81235	29.73383	0.000451463	0.007686064	0.042774215	26.6249059		110.88225	49.9117374420166	0.000146307036629878	0	0.02675		0.00375	0.0155		0.1055	2.1055	28.64	80.55	499	89	70	60	596	28	0	0.49805	2354.620891	5.806473488	10111.2	0.775860222	0.0105	0.0016	0.02675	0	0.0732	0.00235	0.00225	0	-62.0773	-49.4534	0	summer	early	-0.012327	0.02576	19.777778
158	TARA_N000001042	TARA_085	DCM	[180-2000µm]	-62.1943	-49.2502	TARA_085_DCM_180-2000	TARA_085	ERS491078	ERR599310|ERR562409|ERR1740134|ERR1740137	SAMEA2657068	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	TARA_N000001042	2011-01-06T17:58	-3339	-0.80475	34.363065	27.62948	1.2334	0.22416	90	0.015865	326.0385	32.803077	0.000451463	0.007686064	0.042774215	26.6249059	0.98763	110.189	50.637357711792	0.000054366637414205							0.06	2.309	31	81.82	30	36	39	35	471	471	0	0.49805													-62.1943	-49.2502	0	summer	early	-0.012327	0.02576	19.777778
159	TARA_N000001098	TARA_093	DCM	[5-20µm]	-33.9116	-73.0537	TARA_093_DCM_5-20	TARA_093	ERS491483	ERR1712013	SAMEA2621832	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Coastal Biome	[SPO] South Pacific Ocean (MRGID:1910)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	TARA_N000001098	2011-03-12T19:36	-5345	15.376875	34.22887	25.294705	0.00401	0.55254	35	0.206846	227.7609	2.295011	0.000003974	0.040871163	0.175246051	11.33696842	2.18225	1494.17	147.020652770996	0.00076354734483175	0	0.7106		0.0898	0.0214		0.359	1.08725	6.80275	0.46	24	29	38	14	81	80	0.54852	0.995357	5020.252442	6.694159883	16672.3	0.757796898	0.32305	0.05225	0.7106	0.02045	0.10765	0.00445	0.0057	0	-33.9116	-73.0537	0	summer	late	0.061918		3.25
160	TARA_N000001111	TARA_093	DCM	[0.8-5µm]	-33.9116	-73.0537	TARA_093_DCM_0.8-5	TARA_093	ERS491474	ERR1756329|ERR1719265|ERR868358|ERR1755887|ERR1719386	SAMEA2621823	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Coastal Biome	[SPO] South Pacific Ocean (MRGID:1910)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	TARA_N000001111	2011-03-12T19:36	-5345	15.376875	34.22887	25.294705	0.00401	0.55254	35	0.206846	227.7609	2.295011	0.000003974	0.040871163	0.175246051	11.33696842	2.18225	1494.17	147.020652770996	0.00076354734483175	0	0.7106		0.0898	0.0214		0.359	1.08725	6.80275	0.46	24	29	38	14	81	80	0.54852	0.995357	5020.252442	6.694159883	16672.3	0.757796898	0.32305	0.05225	0.7106	0.02045	0.10765	0.00445	0.0057	0	-33.9116	-73.0537	0	summer	late	0.061918		3.25
164	TARA_N000001292	TARA_093	SRF	[5-20µm]	-34.0614	-73.1066	TARA_093_SRF_5-20	TARA_093	ERS491437	ERR1719513|ERR1719317|ERR1755881|ERR1726878	SAMEA2621795	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Coastal Biome	[SPO] South Pacific Ocean (MRGID:1910)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	TARA_N000001292	2011-03-12T11:34	-5030	18.122955	34.31598	24.71804	0.96969	0.13782	5	18.154071	243.0408	0	0.000003974	0.040871163	0.175246051	11.33696842	1.82307	1547.255	154.387619018555	0.00076976214768365	0	0.0218	12.065853	0.0114	0	8.092858	0.03975	0.52125	0.2115	0.1445	26	29	36	14	156	50	0.54852	0.995357	4762.157534	6.854613957	17397.8	0.75062011	0.01585	0.033	0.0218	0.0008	0.02615	0	0.06335	0.00115	-34.0614	-73.1066	0	summer	late	0.061918		3.25
165	TARA_N000001296	TARA_093	SRF	[0.8-5µm]	-34.0614	-73.1066	TARA_093_SRF_0.8-5	TARA_093	ERS491433	ERR1711965|ERR1756035|ERR1756296|ERR868416|ERR1712103	SAMEA2621791	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Coastal Biome	[SPO] South Pacific Ocean (MRGID:1910)	[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)	TARA_N000001296	2011-03-12T11:34	-5030	18.122955	34.31598	24.71804	0.96969	0.13782	5	18.154071	243.0408	0	0.000003974	0.040871163	0.175246051	11.33696842	1.82307	1547.255	154.387619018555	0.00076976214768365	0	0.0218	12.065853	0.0114	0	8.092858	0.03975	0.52125	0.2115	0.1445	26	29	36	14	156	50	0.54852	0.995357	4762.157534	6.854613957	17397.8	0.75062011	0.01585	0.033	0.0218	0.0008	0.02615	0	0.06335	0.00115	-34.0614	-73.1066	0	summer	late	0.061918		3.25
